Fandom,Link,Title,Description
Final Fantasy X/X-2,https://www.fanfiction.net/s/6023640/1/,Spira's Dream : Spira's Sphere,"As Tidus struggles to come to terms with the truth about what he is, the search for Spira's truth begins."
Final Fantasy X/X-2,https://www.fanfiction.net/s/3054771/1/,The Gunslinger,"Vincent Valentine: A hero of legend, sleeping through time. What happens when he wakes up in Spira to find a new terror destroying the land and a new group of heroes asking for his help?"
Final Fantasy X/X-2,https://www.fanfiction.net/s/2073042/1/,This Is My Story,"Yuna finally gets Tidus back, but with Baralai's disappearance and life like dreams channeling people's lives who lived 1000 years ago...she needs to save the day before settling down!"
Final Fantasy X/X-2,https://www.fanfiction.net/s/7823214/1/,Twist in Fate,"After escorting 3 summoners in a row, Lady Yue had enough. Until she meets up with Lady Yuna and her guardians that changed her world upside down. Follow Lady Yue as she gains new friends, new family and falls for a certain legendary guardian in red. But what awaits them all in Zanarkand?"
Final Fantasy X/X-2,https://www.fanfiction.net/s/8175955/1/,Unknown to Spira,"The past is found in the present, how many secrets have been hidden?"
Harry Potter,http://archiveofourown.org/works/3527738,"""Herbal"" Tea","Hermione brews a potion to help Ron and her clear the air and overcome their nerves, but Fleur's presence complicates things a little."
Harry Potter,http://archiveofourown.org/works/1405237,"""Initiation"" By Veela","After his heroics during the second task, Harry’s caught someone’s eye and she doesn’t have to take no for an answer."
Harry Potter,https://www.fanfiction.net/s/7663524/1/,3 Nights and 2 days,"During their stay at the Burrow before their fourth year, Harry and Hermione are forced to share a bed for three nights. They get acquainted with each other in a more intimate way."
Harry Potter,https://www.fanfiction.net/s/5178251/1/,30 Minutes That Changed Everything,"Year 2148: Gobal Population: 1. He made a mistake 150 years ago or so and now the human race no longer exists. For a century or so, he has sought a way to fix it all. Can he, or is the end of the world inevitable?"
Harry Potter,https://www.fanfiction.net/s/5703022/1/,40 Weeks of Waiting,"After adjusting to motherhood with James, Ginny finds out she pregnant again. So soon? Hermione is finally pregnant after almost a year of trying. Ginny finally has someone to share the next 40 weeks with, and glad its her best friend. Between Hermione's questions and Ginny's moods swings, its going to be a long 40 weeks."
Harry Potter,https://www.fanfiction.net/s/10965962/1/,A Badgers Champion,"The Potters had a plan for when the Dark Lord struck on Halloween. It was risky, but it worked. Lily and James Potter both survived the encounter, and their son was now the marked boy who lived. Eleven years later he sets off to Hogwarts with training to change the world. Little does he realize the Dark Lord he thought was gone, would return sooner rather than later."
Harry Potter,https://www.fanfiction.net/s/7758561/1/,A Blossom Amidst the Thorns,Hermione has an encounter before she starts at Hogwarts that will influence her throughout her school life. How long does it take for a crush to become obsession?
Harry Potter,https://www.fanfiction.net/s/5244813/1/,A Champion's New Hope,"Beginning during the Goblet of Fire, Harry looks to different friends for support after both Ron and Hermione refuse to believe that he did not put his name in the Goblet. Including one unexpected friend: Daphne Greengrass."
Harry Potter,http://archiveofourown.org/works/2060049,A Change That’s Better Than A Rest,Harry and Neville have a very unusual way to celebrate their birthdays: wife-swapping!
Harry Potter,http://hp.adult-fanfiction.org/story.php?no=600096882&chapter=1,A Cytherea game of hide-and-seek,"A story of Hermione's seducing Ginny during a game of hide and seek, hiding a spell where it was least expected."
Harry Potter,https://www.fanfiction.net/s/4489910/1/,A Different Beginning,What if Harry's life had been different? What if his parents didn't die? Join Harry in his adventure with his friends as he falls in love and fulfills the prophecy.
Harry Potter,https://www.fanfiction.net/s/4501842/1/,A Different Beginning : A New Beginning,"Harry and his friends enter seventh year and find heartache, happiness, pain, and see the end of the war. Join the characters as new babies, weddings, death, and the beginning of the future comes along."
Harry Potter,https://www.fanfiction.net/s/6439871/1/,A Different Halloween,Could a chance meeting change history? What would a different Halloween in 1981 mean for wizarding Britain?
Harry Potter,https://www.fanfiction.net/s/8416787/1/,A different life,"After the battle of Hogwarts, Harry hears some shocking news. Someone he thinks is dead is really alive which leads his life in a completely different directly that where his life was heading."
Harry Potter,https://www.fanfiction.net/s/7480393/1/,A Different Path,What if Harry had someone at the end of the Deathly Hallows to give him a different perspective on things? How might have this affected his decision to go to his death to save the magical world?
Harry Potter,http://ficwad.com/story/214496,A Different Sort of Bond,An unusual mishap in Sixth Year Potions makes Harry and Daphne Greengrass spend a lot of time together.
Harry Potter,http://ficwad.com/story/105634,A Different Way of Looking At Things,a surprising conversation in the summer between 6th and 7th year makes Harry think about Hermione in a whole new way
Harry Potter,https://www.fanfiction.net/s/9026676/1/,A Godfather's Gift: A Second Chance,"In the midst of a war ravaged house Sirius Black finds Harry alive. Making a choice that will change his life, he vows to live up to his promise to his best friend and raise his Godson as his own, forsaking his own desire for revenge. In the wake of his sorrow can be the parent Harry needs when his world fell apart? AU fic. Rated for very intense emotions and child death."
Harry Potter,http://hp.adult-fanfiction.org/story.php?no=600014984,A Lesson in Patience,Ginny decides to teach Harry a lesson in patience.
Harry Potter,http://hp.adult-fanfiction.org/story.php?no=600096710,A Lesson in Propriety,Ginny walks in on Harry and discovers that he is keeping secrets from her.
Harry Potter,https://www.fanfiction.net/s/7831005/1/,A Love Worth Fighting For,"A story of a love that surpasses the test of time. A love that lives in the past, present, and future. A love that should have never been, but quickly became the only thing worth fighting for."
Harry Potter,http://hp.adult-fanfiction.org/story.php?no=600097557&chapter=1,A Magical Foursome,Harry's fantasies are fulfilled in the Room of Requirement thanks to three of Hogwarts' most beautiful.
Harry Potter,https://www.fanfiction.net/s/8045114/1/,A Marauder's Plan,Sirius decides to stay in England after escaping Hogwarts and makes protecting Harry his priority.
Harry Potter,http://hp.adult-fanfiction.org/story.php?no=544201702,A Mother's Love,Narcissa Malfoy will do anything to protect her son from harm. And by 'anything' I mean Harry Potter.
Harry Potter,http://hp.adult-fanfiction.org/story.php?no=600097243,A Night To Remember,Harry and Hermione meet in the Room of Requirements.
Harry Potter,https://m.fanfiction.net/s/7321346/1/A-Path-of-His-Own,A Path of His Own ,His parents' deaths saved his life. Sirius' death saved his freedom. Harry sets out to face Voldemort on his own terms and without the meddling of Dumbledore. 
Harry Potter,http://ficwad.com/story/99144,A Perfect Mess,Losing your virginity can be awkward
Harry Potter,http://ficwad.com/story/226583,A Prefect's Duty,Harry get's the prefect badge of his fifth year and his Mother shows him part of a prefect's duty.
Harry Potter,http://ficwad.com/story/203390,A Second Chance,What would you go through to get the life you never had. Would you walk willingly into Hell even if you had only just managed to crawl out.
Harry Potter,https://www.fanfiction.net/s/6270721/1/,A Second Chance,Harry is given 2 weeks of vacation in London before returning to his 6th year at Hogwarts when he runs into Parvati. Alone and spending more time together they soon find love
Harry Potter,https://www.fanfiction.net/s/3659524/1/,A Shadowed Soul,"He was abandoned at a young age, the world believing him dead. They were wrong. Death Eaters believed untouchable are dying. Who is this assassin? Will he join Dumbledore or take the war into his own hands?"
Harry Potter,https://www.fanfiction.net/s/2959739/1/,A Sirius Matter,"A few days after being rescued from the dementor's kiss, Sirius Black decides to share information with Harry about his destiny. The story continues on from there."
